fips,county,state_name,state_abbr,svi,risk,ml_risk
02180,Nome Census Area,Alaska,AK,0.8683,0.2605,0.0
02185,North Slope Borough,Alaska,AK,0.7747,0.2324,0.0
02188,Northwest Arctic Borough,Alaska,AK,0.8734,0.262,0.0
02195,Petersburg Borough,Alaska,AK,0.6857,0.2057,0.0
02198,Prince of Wales-Hyder Census Area,Alaska,AK,0.818,0.2454,0.0
02220,Sitka City and Borough,Alaska,AK,0.4442,0.1333,0.0
02230,Skagway Municipality,Alaska,AK,0.3328,0.0998,0.0
02240,Southeast Fairbanks Census Area,Alaska,AK,0.6755,0.2026,0.0
02275,Wrangell City and Borough,Alaska,AK,0.5342,0.1603,0.0
02282,Yakutat City and Borough,Alaska,AK,0.3723,0.1117,0.0
02290,Yukon-Koyukuk Census Area,Alaska,AK,0.8807,0.2642,0.0
04001,Apache County,Arizona,AZ,0.965,0.2895,0.0
04003,Cochise County,Arizona,AZ,0.9325,0.2798,0.0
04005,Coconino County,Arizona,AZ,0.8031,0.2409,0.0
04007,Gila County,Arizona,AZ,0.847,0.2541,0.0
04009,Graham County,Arizona,AZ,0.8486,0.2546,0.0
04011,Greenlee County,Arizona,AZ,0.3598,0.1079,0.0
04012,La Paz County,Arizona,AZ,0.9195,0.2758,0.0
04013,Maricopa County,Arizona,AZ,0.713,0.2139,0.0
04015,Mohave County,Arizona,AZ,0.8489,0.2547,0.0
04017,Navajo County,Arizona,AZ,0.9806,0.2942,0.0
04019,Pima County,Arizona,AZ,0.888,0.2664,0.0
04021,Pinal County,Arizona,AZ,0.797,0.2391,0.0
04023,Santa Cruz County,Arizona,AZ,0.9383,0.2815,0.0
04025,Yavapai County,Arizona,AZ,0.5991,0.1797,0.0
04027,Yuma County,Arizona,AZ,0.9978,0.2993,0.0
05001,Arkansas County,Arkansas,AR,0.7226,0.4501,0.3333
05003,Ashley County,Arkansas,AR,0.8237,0.2471,0.0
05005,Baxter County,Arkansas,AR,0.4333,0.13,0.0
05007,Benton County,Arkansas,AR,0.3268,0.098,0.0
05009,Boone County,Arkansas,AR,0.2647,0.0794,0.0
05011,Bradley County,Arkansas,AR,0.8864,0.2659,0.0
05013,Calhoun County,Arkansas,AR,0.4967,0.149,0.0
05015,Carroll County,Arkansas,AR,0.6421,0.1926,0.0
05017,Chicot County,Arkansas,AR,0.9987,0.2996,0.0
05019,Clark County,Arkansas,AR,0.8339,0.9502,1.0
05021,Clay County,Arkansas,AR,0.3929,0.1179,0.0
05023,Cleburne County,Arkansas,AR,0.3532,0.106,0.0
05025,Cleveland County,Arkansas,AR,0.286,0.0858,0.0
05027,Columbia County,Arkansas,AR,0.7598,0.2279,0.0
05029,Conway County,Arkansas,AR,0.7461,0.2238,0.0
05031,Craighead County,Arkansas,AR,0.8342,0.2503,0.0
05033,Crawford County,Arkansas,AR,0.7531,0.2259,0.0
05035,Crittenden County,Arkansas,AR,0.9205,0.2762,0.0
05037,Cross County,Arkansas,AR,0.9227,0.9768,1.0
05039,Dallas County,Arkansas,AR,0.6885,0.2066,0.0
05041,Desha County,Arkansas,AR,0.9749,0.2925,0.0
05043,Drew County,Arkansas,AR,0.7668,0.23,0.0
05045,Faulkner County,Arkansas,AR,0.5326,0.8598,1.0
05047,Franklin County,Arkansas,AR,0.6198,0.1859,0.0
05049,Fulton County,Arkansas,AR,0.6535,0.196,0.0
